AllGoodCafe,6,6,2012,Richardson,3.5,2,,,5,29,3.724137931,1,2,5,17,4,3,3,1,0,1,0,1
AllGoodCafe,6,6,2013,Richardson,3.5,2,,,9,39,3.615384615,3,2,9,18,7,7,3.571428571,2,0,0,2,3
AllGoodCafe,6,6,2014,Richardson,3.5,2,,,13,52,3.730769231,5,2,11,18,16,4,4.25,0,0,0,3,1
AllGoodCafe,6,6,2015,Richardson,3.5,2,,,16,45,3.4,2,6,11,24,2,14,2.214285714,8,1,0,4,1
AllGoodCafe,6,6,2016,Richardson,3.5,2,,,7,47,3.234042553,4,10,11,15,7,16,4.25,0,2,1,4,9
AllGoodCafe,6,6,2017,Richardson,3.5,2,,,3,32,2.59375,10,4,8,9,1,6,4.166666667,1,0,0,1,4
AlligatorCafe,2,7,2008,Dallas,4,2,Cajun/Creole,,0,0,0,0,0,0,0,0,1,4,0,0,0,1,0
AlligatorCafe,2,7,2010,Dallas,4,2,Cajun/Creole,,0,3,3.333333333,0,0,2,1,0,1,4,0,0,0,1,0
AlligatorCafe,2,7,2011,Dallas,4,2,Cajun/Creole,,0,8,4.25,0,0,0,6,2,2,5,0,0,0,0,2
AlligatorCafe,2,7,2012,Dallas,4,2,Cajun/Creole,,5,21,4.095238095,0,1,3,10,7,3,5,0,0,0,0,3
AlligatorCafe,2,7,2013,Dallas,4,2,Cajun/Creole,,4,21,3.666666667,1,2,4,10,4,2,4.5,0,0,0,1,1
AlligatorCafe,2,7,2014,Dallas,4,2,Cajun/Creole,,6,30,4.133333333,0,0,5,16,9,2,4.5,0,0,0,1,1
AlligatorCafe,2,7,2015,Dallas,4,2,Cajun/Creole,,7,51,4.137254902,0,2,8,22,19,9,3.555555556,1,2,0,3,3
AlligatorCafe,2,7,2016,Dallas,4,2,Cajun/Creole,,7,48,3.625,5,6,6,16,15,10,3.5,0,4,0,3,3
AlligatorCafe,2,7,2017,Dallas,4,2,Cajun/Creole,,2,19,2.947368421,4,4,3,5,3,5,4.4,0,1,0,0,4
AlohaHawaiianBarbecue,8,1,2016,Allen,4,1,Barbeque,Hawaiian,14,47,3.808510638,1,3,11,21,11,4,4.75,0,0,0,1,3
AlohaHawaiianBarbecue,8,1,2017,Allen,4,1,Barbeque,Hawaiian,7,29,4.586206897,0,0,2,8,19,0,0,0,0,0,0,0
Alounak,2,2,2014,Arlington,4.5,2,Mediterranean,,0,1,5,0,0,0,0,1,2,5,0,0,0,0,2
Alounak,2,2,2015,Arlington,4.5,2,Mediterranean,,3,7,4.142857143,0,0,2,2,3,0,0,0,0,0,0,0
Alounak,2,2,2016,Arlington,4.5,2,Mediterranean,,1,12,4.416666667,0,0,2,3,7,2,4.5,0,0,0,1,1
Alounak,2,2,2017,Arlington,4.5,2,Mediterranean,,0,5,4.2,1,0,0,0,4,3,3.666666667,1,0,0,0,2
AmberjaxFishMarketGrille,5,0,2016,Allen,3.5,2,Cajun/Creole,,0,2,3.5,0,1,0,0,1,0,0,0,0,0,0,0
AmberjaxFishMarketGrille,5,0,2017,Allen,3.5,2,Cajun/Creole,,9,59,3.525423729,5,9,10,20,15,10,3.5,3,0,0,3,4
Angela’sCafe,3,5,2012,Arlington,3.5,1,,Mexican,1,4,2.75,0,2,1,1,0,0,0,0,0,0,0,0
Angela’sCafe,3,5,2013,Arlington,3.5,1,,Mexican,0,5,3.4,1,0,1,2,1,0,0,0,0,0,0,0
Angela’sCafe,3,5,2014,Arlington,3.5,1,,Mexican,0,6,3,1,2,0,2,1,0,0,0,0,0,0,0
Angela’sCafe,3,5,2015,Arlington,3.5,1,,Mexican,2,7,3.571428571,0,2,1,2,2,2,4,0,0,1,0,1
Angela’sCafe,3,5,2016,Arlington,3.5,1,,Mexican,3,9,3.222222222,1,2,0,6,0,1,1,1,0,0,0,0
Angela’sCafe,3,5,2017,Arlington,3.5,1,,Mexican,0,6,4.166666667,0,0,1,3,2,3,5,0,0,0,0,3
Angelo&amp;Vito’sPizzeria,9,7,2010,Austin,3.5,1,Pizza,Italian,1,1,5,0,0,0,0,1,0,0,0,0,0,0,0
Angelo&amp;Vito’sPizzeria,9,7,2011,Austin,3.5,1,Pizza,Italian,2,8,3.75,0,0,3,4,1,0,0,0,0,0,0,0
Angelo&amp;Vito’sPizzeria,9,7,2012,Austin,3.5,1,Pizza,Italian,1,4,4,0,0,1,2,1,1,5,0,0,0,0,1
Angelo&amp;Vito’sPizzeria,9,7,2013,Austin,3.5,1,Pizza,Italian,0,13,4,0,1,1,8,3,0,0,0,0,0,0,0
Angelo&amp;Vito’sPizzeria,9,7,2014,Austin,4,1,Pizza,Italian,2,7,4.285714286,0,0,1,3,3,1,2,0,1,0,0,0
Angelo&amp;Vito’sPizzeria,9,7,2015,Austin,3.5,1,Pizza,Italian,4,16,3.6875,3,0,1,7,5,1,1,1,0,0,0,0
Angelo&amp;Vito’sPizzeria,9,7,2016,Austin,3.5,1,Pizza,Italian,5,27,3.148148148,4,7,4,5,7,3,3,1,0,1,0,1
Angelo&amp;Vito’sPizzeria,9,7,2017,Austin,3.5,1,Pizza,Italian,1,8,3.375,2,1,0,2,3,0,0,0,0,0,0,0
AngryDog,20,7,2009,Richardson,4,1,Burgers,American(New),0,1,5,0,0,0,0,1,1,2,0,1,0,0,0
